Date,Country,Exchange,Holiday
"Jan 01, 2024",Argentina,Buenos Aires Stock Exchange,New Year's Day
"Feb 12, 2024",Argentina,Buenos Aires Stock Exchange,Carnival
"Feb 13, 2024",Argentina,Buenos Aires Stock Exchange,Carnival
"Mar 28, 2024",Argentina,Buenos Aires Stock Exchange,Maundy Thursday
"Mar 29, 2024",Argentina,Buenos Aires Stock Exchange,Good Friday
"Apr 01, 2024",Argentina,Buenos Aires Stock Exchange,Market Holiday
"Apr 02, 2024",Argentina,Buenos Aires Stock Exchange,Malvinas Day
"Apr 19, 2024",Argentina,Buenos Aires Stock Exchange,Death of Jose de San Martin
"May 01, 2024",Argentina,Buenos Aires Stock Exchange,Labor Day
"Jun 17, 2024",Argentina,Buenos Aires Stock Exchange,Martín Miguel de Güemes day
"Jun 20, 2024",Argentina,Buenos Aires Stock Exchange,General D. Manuel Belgrano Death
"Jul 09, 2024",Argentina,Buenos Aires Stock Exchange,Independence Day
"Oct 11, 2024",Argentina,Buenos Aires Stock Exchange,Market Holiday
"Oct 14, 2024",Argentina,Buenos Aires Stock Exchange,Columbus Day
"Nov 18, 2024",Argentina,Buenos Aires Stock Exchange,National Sovereignty and Children Day
"Dec 24, 2024",Argentina,Buenos Aires Stock Exchange,Christmas
"Dec 25, 2024",Argentina,Buenos Aires Stock Exchange,Christmas
"Dec 31, 2024",Argentina,Buenos Aires Stock Exchange,New Year's Day
"Jan 01, 2025",Argentina,Buenos Aires Stock Exchange,New Year's Day
"Mar 03, 2025",Argentina,Buenos Aires Stock Exchange,Carnival
"Mar 04, 2025",Argentina,Buenos Aires Stock Exchange,Carnival
"Mar 24, 2025",Argentina,Buenos Aires Stock Exchange,Day of Remembrance for Truth and Justice
"Apr 02, 2025",Argentina,Buenos Aires Stock Exchange,Malvinas Day
"Apr 17, 2025",Argentina,Buenos Aires Stock Exchange,Maundy Thursday
"Apr 18, 2025",Argentina,Buenos Aires Stock Exchange,Good Friday
"May 01, 2025",Argentina,Buenos Aires Stock Exchange,Labor Day
"Jun 16, 2025",Argentina,Buenos Aires Stock Exchange,National Day
"Jun 20, 2025",Argentina,Buenos Aires Stock Exchange,General D. Manuel Belgrano’s Death
"Jul 09, 2025",Argentina,Buenos Aires Stock Exchange,Independence Day
"Aug 15, 2025",Argentina,Buenos Aires Stock Exchange,National Day
"Oct 13, 2025",Argentina,Buenos Aires Stock Exchange,Columbus Day
"Nov 17, 2025",Argentina,Buenos Aires Stock Exchange,National Sovereignty and Children Day
"Dec 08, 2025",Argentina,Buenos Aires Stock Exchange,Feast of the Immaculate Conception
"Dec 24, 2025",Argentina,Buenos Aires Stock Exchange,Christmas
"Dec 25, 2025",Argentina,Buenos Aires Stock Exchange,Christmas
"Dec 31, 2025",Argentina,Buenos Aires Stock Exchange,New Year's Day
